Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2006,Incremento20052006,Floresta2006,Nuvem2006,NaoObservado2006,NaoFloresta2006,Hidrografia2006,Soma 
 157,-1.72515,-46.89921,S 1 43 30.54,O 46 53 57.16,Santa Luzia do Pará,1506559,PA,1367,1233.6,9.3,99.9,6.9,26.6,0.0,0.0,100
 158,-12.14230,-61.72946,S 12 8 32.28,O 61 43 46.06,Santa Luzia D'Oeste,1100296,RO,1207,966.0,2.6,238.7,2.3,0.0,0.0,0.0,100
 159,-4.29175,-45.93682,S 4 17 30.30,O 45 56 12.55,Santa Luzia,2110005,MA,6245,5599.9,8.4,521.5,123.2,0.4,0.0,0.0,100
 160,-0.25129,-64.98731,S 0 15 4.64,O 64 59 14.32,Santa Isabel do Rio Negro,1303601,AM,64130,205.4,0.3,54436.8,7837.8,70.9,950.8,628.3,100
 161,-1.36752,-48.12871,S 1 22 3.07,O 48 7 43.36,Santa Isabel do Pará,1506500,PA,720,528.7,5.6,0,0.0,191.8,4.1,20.8,103
 162,-3.85236,-45.42994,S 3 51 8.50,O 45 25 47.78,Santa Inês,2109908,MA,778,766.3,0.0,0,0.0,0.0,8.6,3.5,100
 163,-2.46946,-45.53681,S 2 28 10.06,O 45 32 12.52,Santa Helena,2109809,MA,2335,1392.0,10.3,181.6,24.2,0.0,629.3,107.9,100
 164,-5.49785,-44.60715,S 5 29 52.26,O 44 36 25.74,Santa Filomena do Maranhão,2109759,MA,408,52.5,0.3,16.2,0.0,0.0,339.3,0.0,100
 165,-7.04070,-49.04623,S 7 2 26.52,O 49 2 46.43,Santa Fé do Araguaia,1718865,TO,1683,1250.5,1.8,373.2,0.0,0.0,0.0,59.3,99
 166,-10.04129,-52.55143,S 10 2 28.64,O 52 33 5.15,Santa Cruz do Xingu,5107743,MT,5627,1321.7,21.5,2618.3,0.0,0.0,1621.6,65.4,100
 167,-0.55415,-49.32373,S 0 33 14.94,O 49 19 25.43,Santa Cruz do Arari,1506401,PA,1078,0.0,0.0,5.0,0.7,0.0,1044.1,28.2,100
 168,-11.94664,-54.84224,S 11 56 47.90,O 54 50 32.06,Santa Carmem,5107248,MT,3836,1401.5,22.7,2434.5,0.0,0.0,0.0,0.0,100
 169,-1.19187,-48.23730,S 1 11 30.73,O 48 14 14.28,Santa Bárbara do Pará,1506351,PA,279,157.1,1.4,0,0.0,122.5,0.0,19.6,107
 170,-12.38825,-49.85725,S 12 23 17.70,O 49 51 26.10,Sandolândia,1718840,TO,3536,4.1,0.0,75.1,0.0,1.1,3440.9,14.8,100
 171,-5.34123,-47.90444,S 5 20 28.43,O 47 54 15.98,Sampaio,1718808,TO,223,74.9,1.2,8.0,3.6,0.5,123.4,12.6,100
 172,-7.39798,-45.56971,S 7 23 52.73,O 45 34 10.96,Sambaíba,2109700,MA,2509,0.0,0.0,31.9,0.0,0.0,2477.1,0.0,100
 173,-0.81267,-48.58165,S 0 48 45.61,O 48 34 53.94,Salvaterra,1506302,PA,1048,103.7,0.4,0,40.4,357.1,433.3,299.7,117
 174,-15.00229,-58.17210,S 15 0 8.24,O 58 10 19.56,Salto do Céu,5107750,MT,1776,1337.0,4.6,386.4,0.8,0.0,51.7,0.1,100
